||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İstanbul(Beyoğlu/Beyoğlu Bel./Halıcıoğlu Mah.)-40304|13413.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Hüseyinağa Mah.)-40272|333.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./İstiklal Mah.)-40279|4843.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kadımehmet Efendi Mah.)-40267|10245.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kalyoncu Kulluğu Mah.)-40270|3148.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kamer Hatun Mah.)-40271|838.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kaptanpaşa Mah.)-40264|19920.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Katipmustafa Çelebi Mah.)-40274|841.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Keçeci Piri Mah.)-40302|14351.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kemankeş Karamustafapaşa Mah.)-40297|129.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kılıçali Paşa Mah.)-40296|2510.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kocatepe Mah.)-40277|1950.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Küçük Piyale Mah.)-40268|9404.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kulaksız Mah.)-40266|9805.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Kuloğlu Mah.)-40288|1465.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Müeyyetzade Mah.)-40286|520.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Ömer Avni Mah.)-40294|2181.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Örnektepe Mah.)-40305|10773.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Piripaşa Mah.)-40303|15499.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Piyalepaşa Mah.)-40263|23795.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Pürtelaş Hasan Efendi Mah.)-40295|1932.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Şahkulu Mah.)-40284|880.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Şehit Muhtar Mah.)-40273|1502.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Sururi Mehmet Efendi Mah.)-40289|4428.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Sütlüce Mah.)-40306|12579.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Tomtom Mah.)-40287|2715.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Yahya Kahya Mah.)-40290|3774.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Yenişehir Mah.)-40265|5738.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./19 Mayıs Mah.)-40850|8377.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Ahmediye Mah.)-40891|1244.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Alkent 2000 Mah.)-40844|4318.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Atatürk Mah.)-40845|18691.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Bahçelievler Mah.)-40882|3247.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Çakmaklı Mah.)-99334|5065.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Celaliye Mah.)-40928|5348.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Cumhuriyet Mah.)-40846|7324.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Dizdariye Mah.)-40847|6949.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Ekinoba Mah.)-40886|11696.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Fatih Mah.)-40848|19322.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Güzelce Mah.)-40883|6459.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Hürriyet Mah.)-40889|20019.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Kamiloba Mah.)-40929|6650.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Karaağaç Mah.)-40849|2303.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Kumburgaz Mah.)-40884|6434.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Mimaroba Mah.)-140376|18026.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Mimar Sinan Merkez Mah.)-40887|8726.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Murat Çesme Mah.)-40888|14519.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Pınartepe Mah.)-40868|17485.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Sinanoba Mah.)-140374|14459.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Türkoba Mah.)-40892|12980.0|
