ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1810,KAÐITHANE,Özel Teknodent Diþ Protez Laboratuvarý,Diþ Laboratuvarý,Aydoðan Cad. No:24 TALATPAÞA/KAÐITHANE,0212 210 04 46,,,,,TALATPAÞA,41.063493289000064,28.965408643000046
1663,ÞÝÞLÝ,Özel Ýstanbul Cerrahi Hastanesi Fulya,Özel Hastane,Ferah Sk. No:22 TEÞVÝKÝYE/ÞÝÞLÝ,0212 291 91 22,www.istanbulcerrahi.com,Var,48,Var,TEÞVÝKÝYE,41.05562822100006,28.997872432000065
1823,KÜÇÜKÇEKMECE,Tepeüstü Verem Savaþ Dispanseri,Verem Savaþ Dispanseri,Ýnönü Cad. No:86/1G YENÝ MAHALLE/KÜÇÜKÇEKMECE,0212 425 21 07,,,0,Yok,YENÝ MAHALLE,40.99755689700004,28.777293318000034
1421,KADIKÖY,Üsküdar 16 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Cenap Þahabettin Sk. No:97 KOÞUYOLU/KADIKÖY,0216 339 22 93 - 0216 545 17 19,,Yok,0,,KOÞUYOLU,41.00717795400004,29.03384496900003
2053,ESENYURT,Özel Elitium Cerrahi Týp Merkezi Esenyurt,Týp Merkezi Özel,Kemal Paþa Cad. No:25 ÝNÖNÜ/ESENYURT,0212 699 51 11,www.elituim.com.tr,Var,,Yok,ÝNÖNÜ,41.02345453100003,28.69030881100008
1449,KARTAL,Türk Kýzýlayý Marmara Bölge Afet Yönetim Müdürlügü,Kýzýlay,Ferah Sk. No: ESENTEPE/KARTAL,0216 517 08 00,www.afetyonetimi.kizilay.org.tr,,,Yok,ESENTEPE,40.90800743300008,29.189723963000063
1708,ÜSKÜDAR,Özel Üsküdar Anadolu Hastanesi,Özel Hastane,Halk Cad. No:8 AZÝZ MAHMUT HÜDAYÝ/ÜSKÜDAR,0216 341 88 88 - 0541 660 04 14,www.uah.com.tr,Var,20,Var,AZÝZ MAHMUT HÜDAYÝ,41.021445259000075,29.015832488000058
1327,FATÝH,Ýstanbul Üniversitesi Týp Fakültesi Dermatoloji Anabilim Dalý,Poliklinik,Turgut Özal Millet Cad. No:118C TOPKAPI/FATÝH,0212 414 20 00,http://istanbultip.istanbul.edu.tr,Yok,19,,TOPKAPI,41.01642914800004,28.932661952000046
1327,FATÝH,Fatih 12 Nolu Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Kocasinan Cad. No:88 HIRKA-Ý ÞERÝF/FATÝH,0212 621 41 01,,Yok,0,,HIRKA-Ý ÞERÝF,41.01984805600006,28.94001176200004
1186,BEYOÐLU,Özel Öztürk Protez Ortez Uygulama Merkezi,Protez-Ortez Yapým ve Uygulama Merkezi Özel,Kalyoncu Kulluðu Cad. No:23 KALYONCU KULLUÐU/BEYOÐLU,0212 255 47 58 - 0536 850 60 31,www.ozturkortopedi.com,,,,KALYONCU KULLUÐU,41.03678441000005,28.976899675000027
2005,BAHÇELÝEVLER,Diþ Hekimi Hakan Gürsoy,Muayenehane,Mimar Sinan Cad. No:109 CUMHURÝYET/BAHÇELÝEVLER,0212 435 80 23,,,,,CUMHURÝYET,41.014560000000074,28.857394000000056
2003,AVCILAR,Özel Umut Týbbi Tahlil Laboratuvarý,Laboratuvar Özel,Reþit Paþa Cad. No:45 MERKEZ/AVCILAR,0212 593 53 23,www.umutlab.com,,,,MERKEZ,40.97941396400006,28.723535406000053
2005,BAHÇELÝEVLER,Diþ Hekimi Gülsüm Özsaðdýç,Muayenehane,Mustafa Kemalpaþa Cad. No:2 SÝYAVUÞPAÞA/BAHÇELÝEVLER,0212 556 12 85,,,,,SÝYAVUÞPAÞA,41.00436300200005,28.85252371400003
1663,ÞÝÞLÝ,Özel Açýk Emar Görüntüleme Merkezi,Görüntüleme Merkezi Özel,Abdi Ýpekçi Cad. No:40 HARBÝYE/ÞÝÞLÝ,0212 234 58 89,,,,,HARBÝYE,41.048415755000065,28.992806769000026
1604,SARIYER,Diþ Hekimi Hamit Þevket Ýnce,Muayenehane,Kekik Sk. No:13 MERKEZ/SARIYER,0212 242 33 98,,,,,SARIYER MERKEZ,41.16953285200003,29.055919798000048
1663,ÞÝÞLÝ,Özel MediLab Laboratuvarý,Laboratuvar Özel,Büyükdere Cad. No:1 19 MAYIS/ÞÝÞLÝ,0212 296 12 96,www.medilab.com.tr,,,,19 MAYIS,41.06193760300005,28.989103987000078
1183,BEÞÝKTAÞ,Özel Estethica Levent Hastanesi,Özel Hastane,Yenisülün Sk. No:13 LEVENT/BEÞÝKTAÞ,0212 371 45 60,www.estethica.com.tr,Var,0,Yok,LEVENT,41.086068139000076,29.017860733000077
1183,BEÞÝKTAÞ,Adnan Ezen Optik,Optik,Ortabahçe Cad. No:42 SÝNANPAÞA/BEÞÝKTAÞ,0212 261 73 65,,,,,SÝNANPAÞA,41.04346723200007,29.003813885000056
1336,GAZÝOSMANPAÞA,Yücel Optik,Optik,Cumhuriyet Meydaný No:10 MERKEZ/GAZÝOSMANPAÞA,0212 545 06 65,,,,,MERKEZ,41.058907832000045,28.913147741000046
1336,GAZÝOSMANPAÞA,Akay Optik,Optik,759. Sk. No:4I FEVZÝ ÇAKMAK/GAZÝOSMANPAÞA,0212 649 27 07,,,,,FEVZÝ ÇAKMAK,41.07311761400007,28.903067949000047
1336,GAZÝOSMANPAÞA,Gaziosmanpaþa Taksim Eðitim ve Araþtýrma Hastanesi Aliya Ýzzetbegoviç Semt Polikliniði,Poliklinik,Salihpaþa Cad. No:40-42B MERKEZ/GAZÝOSMANPAÞA,0212 252 63 00,www.taksimhastanesi.gov.tr,Yok,0,,MERKEZ,41.05625857200005,28.91223575300006
1823,KÜÇÜKÇEKMECE,Küçükçekmece 3 Nolu Acil Yardým Ýstasyonu,Acil Yardým Ýstasyonu,Hakan Cad. No:44 ÝNÖNÜ/KÜÇÜKÇEKMECE,0212 548 77 82,www.istanbulsaglik.gov.tr,Yok,3,Var,ÝNÖNÜ,41.02600321500006,28.797325414000056
1708,ÜSKÜDAR,Ýstanbul Sultan Abdülhamid Eðitim ve Araþtýrma Hastanesi Diyaliz Merkezi ve Periton Merkezi,Diyaliz Merkezi,Burhan Felek Cad. No:20 SELÝMÝYE/ÜSKÜDAR,0216 542 20 20,www.gata.edu.tr,Var,,Var,SELÝMÝYE,41.00196609900007,29.020020055000032
1708,ÜSKÜDAR,Mehmet Orhan Erdað Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Yurtsever Sk. No:4 BULGURLU/ÜSKÜDAR,0216 505 99 30,,Yok,0,,BULGURLU,41.02164463200006,29.08057568600003
1708,ÜSKÜDAR,Dr. Siyami Ersek Göðüs ve Kalp Damar Cerrahisi Eðitim ve Araþtýrma Hastanesi,Eðitim Araþtýrma Hastanesi,Týbbiye Cad. No:25/2 SELÝMÝYE/ÜSKÜDAR,0216 542 44 44,www.siyamiersek.gov.tr,Var,464,Yok,SELÝMÝYE,41.00379663700005,29.023411190000047
1421,KADIKÖY,Özel Unimed Polikliniði,Poliklinik Özel,Baðdat Cad. No:2 CADDEBOSTAN/KADIKÖY,0216 359 12 01,www.unimed.gen.tr,Yok,0,,CADDEBOSTAN,40.969571631000065,29.064196835000075
