_id,NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
226,Piri Mehmetpaşa Parkı,28.9504919278249986,41.0418030525732007,PİRİPAŞA,BEYOĞLU
227,1272/2. Sok. Parkı,28.9102632469184009,41.100209408383499,ZÜBEYDE HANIM,SULTANGAZİ
228,Şehit Sedat Karaçor Parkı,28.8623937257345986,41.0650967042324027,TURGUT REİS,ESENLER
229,Cumhuriyet Meydanı,28.5833946297255999,41.0193419086145994,FATİH,BÜYÜKÇEKMECE
230,İBB Hacı Hüsrev Parkı,28.9409137408242998,41.0398618248473994,DEFTERDAR,EYÜPSULTAN
231,Küçüksu Mahalle Muhtarlığı Yanı Parkı,29.0656280213040006,41.0694294919112011,KÜÇÜKSU,ÜSKÜDAR
232,Seyfi Ali Yıldız Parkı,29.0749430635266002,41.0579788357942022,BAHÇELİEVLER,ÜSKÜDAR
233,Kiraz Bahçesi,28.8364459043413994,41.0338253880900012,KİRAZLI,BAĞCILAR
234,Üzüm Bağı,28.8538207648307008,41.0385061683510983,SANCAKTEPE,BAĞCILAR
235,Cebeci Şehir Parkı,28.875429657621801,41.1036382810008973,UĞUR MUMCU,SULTANGAZİ
236,Meşe Parkı,29.2416436270512001,41.0497982015285032,ÇATALMEŞE,ÇEKMEKÖY
237,Karaçayır Parkı,29.2322857657233008,41.0246565189832992,SOĞUKPINAR,ÇEKMEKÖY
238,Sarı Çiçek Parkı,29.2212168625611994,41.0210416007424001,KİRAZLIDERE,ÇEKMEKÖY
239,Atatürk Parkı,28.4573585622303007,41.1427994409175,KALEİÇİ,ÇATALCA
240,Mustafa Dönmez Parkı,28.8549757361860983,41.0178724205575023,CUMHURİYET,BAHÇELİEVLER
241,Yeni Çamlıca Parkı,29.0565345885270006,41.0294476732536992,BURHANİYE,ÜSKÜDAR
242,Bağlariçi Parkı,29.0820610239244992,41.0216791325473977,BULGURLU,ÜSKÜDAR
243,Turgut Reis Parkı,29.0852729725427999,41.0170661417374021,BULGURLU,ÜSKÜDAR
244,M. Emim Yıldırım Parkı,29.035766601411499,41.0172244021100028,BARBAROS,ÜSKÜDAR
245,Divitçiler Parkı,29.0249272561155998,41.0166147532979011,VALİDE-İ ATİK,ÜSKÜDAR
246,Kısıklı Parkı,29.0748156295592999,41.0259344330809981,KISIKLI,ÜSKÜDAR
247,Altunizade Parkı,29.0485809305764988,41.0184599120041966,ALTUNİZADE,ÜSKÜDAR
248,Necati Alkan Parkı,29.2315638258567994,41.0204256078042988,AYDINLAR,ÇEKMEKÖY
249,Yılmaz Parkı,29.2305651336619015,41.0246740520097006,SOĞUKPINAR,ÇEKMEKÖY
250,Alman Deresi Yürüyüş Parkı,29.0292321138041984,41.0876301187959001,AKAT,BEŞİKTAŞ
251,Sohbet Parkı,28.912688555779301,41.0971873152808982,75. YIL,SULTANGAZİ
252,Şehit Nejat Şahin Parkı,28.8693950656980007,41.0947646873935994,50. YIL,SULTANGAZİ
253,Şairler Sofası,29.0004196916740007,41.0419649753742988,VİŞNEZADE,BEŞİKTAŞ
254,Vişnezade Camii Parkı,28.9989023726818012,41.0418449277906987,VİŞNEZADE,BEŞİKTAŞ
255,Atatürk Gençlik Parkı,28.2878871497430993,41.0668339399759006,CUMHURİYET,SİLİVRİ
256,Barbaros Parkı,29.0065848499062007,41.0415824714773976,SİNANPAŞA,BEŞİKTAŞ
257,Molla Aşkı Kültür Parkı,28.943264937785699,41.0338016582333012,AYVANSARAY,FATİH
258,Esenyurt Belediyesi Yürüyüş Parkı,28.6551629578919993,41.0169618402405973,CUMHURİYET,ESENYURT
259,Park,28.8841213156206003,41.0123729524893008,MEHMET NESİH ÖZMEN,GÜNGÖREN
260,Park,29.1227405916664992,40.9863271709353967,KÜÇÜKBAKKALKÖY,ATAŞEHİR
261,Şehit Çaner Çalışkan Parkı,29.2140845438103014,40.9215844535249005,GÜMÜŞPINAR,KARTAL
262,Şehit Turan Damgacı Parkı,29.2139659471000996,40.9306113312470004,UĞUR MUMCU,KARTAL
263,Park,29.2141505899860014,41.0182689882024007,KİRAZLIDERE,ÇEKMEKÖY
264,Farabi Parkı,29.1806451340585014,41.0332155439061026,MİMAR SİNAN,ÇEKMEKÖY
265,Keskin Parkı,29.1823929015417001,41.0219773486634978,MEHMET AKİF,ÇEKMEKÖY
266,İbn-i Sina Parkı,29.1875410711583996,41.0165534385439017,MEHMET AKİF,ÇEKMEKÖY
267,Kemerdere Parkı,29.178670443701801,41.0234927155001969,MEHMET AKİF,ÇEKMEKÖY
